name,link,score,comment,lowest_price,stress
"
                炉端とおでん 呼炉凪来 金沢駅前店
              ",https://tabelog.com/ishikawa/A1701/A170101/17014669/,3.13,"
              
                口コミ 99 人              
            ","￥2,000",石川県金沢市堀川新町2-48 サンファーストビル 3F
"
                金澤じんや
              ",https://tabelog.com/ishikawa/A1701/A170101/17007698/,3.24,"
              
                口コミ 24 人              
            ","￥8,000",石川県金沢市尾山町12-1 
"
                花より魚
              ",https://tabelog.com/ishikawa/A1701/A170101/17015249/,3.03,"
              
                口コミ 1 人              
            ","￥2,000",石川県金沢市片町2-3-2 味ビル B1F
"
                割烹 むら井
              ",https://tabelog.com/ishikawa/A1701/A170101/17000494/,3.4,"
              
                口コミ 136 人              
            ","￥8,000",石川県金沢市香林坊2-12-15 
"
                COIL
              ",https://tabelog.com/ishikawa/A1701/A170101/17011442/,3.43,"
              
                口コミ 186 人              
            ","￥2,000",石川県金沢市袋町1-1 かなざわはこまち 2F
"
                全席完全個室居酒屋 和ノ音 金沢駅前店
              ",https://tabelog.com/ishikawa/A1701/A170101/17014237/,3.35,"
              
                口コミ 71 人              
            ","￥3,000",石川県金沢市堀川新町2-53 セントラルアークビル 4F
"
                restaurant ecoutieres
              ",https://tabelog.com/ishikawa/A1701/A170101/17013984/,3.15,"
              
                口コミ 14 人              
            ","￥20,000",石川県金沢市北安江2-7-31 
"
                和食郷土料理 いち凛 金沢本店
              ",https://tabelog.com/ishikawa/A1701/A170101/17013249/,3,"
              
                口コミ 8 人              
            ","￥3,000",石川県金沢市片町1-7-23 金劇パシオン 2F
"
                barrier
              ",https://tabelog.com/ishikawa/A1701/A170101/17014075/,3.21,"
              
                口コミ 29 人              
            ","￥6,000",石川県金沢市尾張町2-14-21 
"
                一誠
              ",https://tabelog.com/ishikawa/A1701/A170101/17015151/,3.03,"
              
                口コミ 5 人              
            ","￥15,000",石川県金沢市安江町13-7 
"
                旬魚季菜 とと桜
              ",https://tabelog.com/ishikawa/A1701/A170101/17005289/,3.54,"
              
                口コミ 329 人              
            ","￥5,000",石川県金沢市片町2-5-5 
"
                吟の小判
              ",https://tabelog.com/ishikawa/A1701/A170101/17000539/,3.3,"
              
                口コミ 57 人              
            ","￥5,000",石川県金沢市本町2-15-1 ポルテ金沢 B1F
"
                割鮮 のむら
              ",https://tabelog.com/ishikawa/A1701/A170101/17001125/,3.12,"
              
                口コミ 17 人              
            ","￥8,000",石川県金沢市泉野出町3-3-32 
"
                LUCKY-ROO 金沢片町店
              ",https://tabelog.com/ishikawa/A1701/A170101/17015308/,-,"
              
                口コミ 2 人              
            ","￥5,000",石川県金沢市片町2-7-2 
"
                イルマーレ
              ",https://tabelog.com/ishikawa/A1701/A170101/17010565/,3.23,"
              
                口コミ 39 人              
            ","￥3,000",石川県金沢市片町2-5-11 
"
                地酒と肴 魚頂点 片町店
              ",https://tabelog.com/ishikawa/A1701/A170101/17015081/,3.05,"
              
                口コミ 5 人              
            ","￥4,000",石川県金沢市片町1-3-33 ドゥーア柿木畠 1F
"
                肉のめぐみ
              ",https://tabelog.com/ishikawa/A1701/A170101/17014753/,3.05,"
              
                口コミ 5 人              
            ","￥4,000",石川県金沢市片町1-9-13 水野ビル 1F
"
                KAIFAN the Parlor
              ",https://tabelog.com/ishikawa/A1701/A170101/17014209/,3.23,"
              
                口コミ 13 人              
            ","￥5,000",石川県金沢市広坂1-9-20 
"
                すずや
              ",https://tabelog.com/ishikawa/A1701/A170101/17008378/,3.53,"
              
                口コミ 123 人              
            ","￥6,000",石川県金沢市笠市町5-2 
"
                梅の花 金沢店
              ",https://tabelog.com/ishikawa/A1701/A170101/17000240/,3.07,"
              
                口コミ 58 人              
            ","￥4,000",石川県金沢市戸水1-101 
"
                鹿児島県霧島市 塚田農場 金沢駅西口店
              ",https://tabelog.com/ishikawa/A1701/A170101/17010651/,3.03,"
              
                口コミ 34 人              
            ","￥3,000",石川県金沢市広岡1-9-16 マストスクエア金沢
"
                個室居酒屋 九十九 金沢店
              ",https://tabelog.com/ishikawa/A1701/A170101/17012309/,3.08,"
              
                口コミ 57 人              
            ","￥3,000",石川県金沢市此花町3-3 ライブ1ビルB棟 1F
"
                和酒と和談 かこみ料理 醍庵
              ",https://tabelog.com/ishikawa/A1701/A170101/17000368/,3.44,"
              
                口コミ 143 人              
            ","￥5,000",石川県金沢市堀川町4-1 セントラルビル　Ｂ１Ｆ?１Ｆ
"
                餃子のかっちゃん 金沢片町店
              ",https://tabelog.com/ishikawa/A1701/A170101/17014778/,3.02,"
              
                口コミ 10 人              
            ","￥2,000",石川県金沢市片町2-1-3 片町センタービル 2F
"
                くいもの屋わん 金沢駅前店
              ",https://tabelog.com/ishikawa/A1701/A170101/17008925/,3.03,"
              
                口コミ 23 人              
            ","￥3,000",石川県金沢市此花町5-5 玉川駅前ビル 2F
"
                くすの樹
              ",https://tabelog.com/ishikawa/A1701/A170101/17007795/,3.36,"
              
                口コミ 27 人              
            ","￥10,000",石川県金沢市武蔵町12-1 ADビル 2F
"
                海鮮と金沢おでん 個室居酒屋まんま
              ",https://tabelog.com/ishikawa/A1701/A170101/17015094/,3.04,"
              
                口コミ 2 人              
            ","￥5,000",石川県金沢市片町2-23-12 中央コアビル 1F
"
                市場直送 海鮮酒場 サカナヤサケ
              ",https://tabelog.com/ishikawa/A1701/A170101/17013434/,3.38,"
              
                口コミ 109 人              
            ","￥4,000",石川県金沢市片町2-23-12 中央コア BF1
"
                肉＆おでん 金沢風土研究所
              ",https://tabelog.com/ishikawa/A1701/A170101/17011432/,3.3,"
              
                口コミ 71 人              
            ","￥5,000",石川県金沢市本町2-15-1 ポルテ金沢 B1F
"
                わたる
              ",https://tabelog.com/ishikawa/A1701/A170101/17011504/,3.15,"
              
                口コミ 21 人              
            ","￥4,000",石川県金沢市大工町44 
"
                個室×和食居酒屋 金沢商店 金沢片町店
              ",https://tabelog.com/ishikawa/A1701/A170101/17011864/,3,"
              
                口コミ 8 人              
            ","￥2,000",石川県金沢市片町1-6-13 APA片町第3ビル 6F-A
"
                ここちもなか
              ",https://tabelog.com/ishikawa/A1701/A170101/17001159/,3.51,"
              
                口コミ 85 人              
            ","￥4,000",石川県金沢市長町1-3-51 
"
                炭火焼肉 みさも
              ",https://tabelog.com/ishikawa/A1701/A170101/17014399/,3.51,"
              
                口コミ 49 人              
            ","￥5,000",石川県金沢市片町1-9-15 
"
                居酒屋はち丸 別館
              ",https://tabelog.com/ishikawa/A1701/A170101/17010422/,3.17,"
              
                口コミ 56 人              
            ","￥5,000",石川県金沢市本町2-9-3 
"
                焼肉ホルモン誠 金沢駅前店
              ",https://tabelog.com/ishikawa/A1701/A170101/17014876/,3.08,"
              
                口コミ 10 人              
            ","￥3,000",石川県金沢市本町2-12-4 クルエ?ボヌール駅前 1F
"
                OTM Restaurant＆Bar
              ",https://tabelog.com/ishikawa/A1701/A170101/17014648/,3.17,"
              
                口コミ 17 人              
            ","￥3,000",石川県金沢市袋町1-1 かなざわはこまち 2F
"
                はち丸 金沢駅前店
              ",https://tabelog.com/ishikawa/A1701/A170101/17006946/,3.5,"
              
                口コミ 218 人              
            ","￥5,000",石川県金沢市本町2-2-1 
"
                ざくろ
              ",https://tabelog.com/ishikawa/A1701/A170101/17000566/,3.31,"
              
                口コミ 83 人              
            ","￥4,000",石川県金沢市堀川新町2-53 セントラルアークビル　３Ｆ
"
                和食麺処 サガミ 金沢松村店
              ",https://tabelog.com/ishikawa/A1701/A170101/17011682/,3.04,"
              
                口コミ 25 人              
            ","￥1,000",石川県金沢市松村4-377 
"
                Allegro Kanazawa
              ",https://tabelog.com/ishikawa/A1701/A170101/17013643/,3.55,"
              
                口コミ 46 人              
            ","￥6,000",石川県金沢市片町1-5-15 関ビル 2F
